"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"V1.0 Model","WorkbookSubscriptionHistory","","0","0","10","0","0"
"V1.0 UseCase","WorkBook","ReadWorkBook","0","0","4","0","0"
"V1.0 UseCase","Member","SaveMember","0","0","8","0","0"
"V1.0 UseCase","Member","Token","0","0","10","0","0"
"V1.0 UseCase","Subscription","UnsubscribeAll","0","0","4","0","0"
"V1.0 API","Subscription API","[GET] /api/v1/subscriptions/workbooks?view=mainCard","0","0","1","0","0"
"V1.0 UseCase","Subscription","BrowseSubscribeWorkbooks","0","0","8","0","0"
"V1.0 UseCase","Subscription","SubscribeWorkBook","0","0","8","0","0"
"V1.0 UseCase","WorkBook","BrowseWorkbooks","0","0","6","0","0"
"V1.0 Model","AuthMainViewWorkbookOrderDelegator","","0","0","3","0","0"
"V1.0 UseCase","Article","ReadArticle","0","0","6","0","0"
"V1.0 API","Problem API","[GET] /api/v1/problems/unsubmitted","0","0","1","0","0"
"V1.0 UseCase","Problem","ReadProblem","0","0","4","0","0"
"V1.0 API","API Log API","[POST] /api/v1/logs","0","0","1","0","0"
"V1.0 API","Member API","[POST] /api/v1/members","0","0","1","0","0"
"V1.0 API","WorkBook API","[GET] /api/v1/workbooks/categories","0","0","1","0","0"
"V1.0 API","Article API","[GET] /api/v1/articles/{articleId}","0","0","1","0","0"
"V1.0 UseCase","Subscription","UnsubscribeWorkBook","0","0","4","0","0"
"V1.0 UseCase","Problem","BrowseUndoneProblems","0","0","4","0","0"
"V1.0 UseCase","Problem","CheckProblem","0","0","6","0","0"
"V1.0 API","Subscription API","[PATCH] /api/v1/subscriptions/day","0","0","1","0","0"
"V1.0 API","Problem API","[GET] /api/v1/problems?articleId=","0","0","1","0","0"
"V1.0 API","Subscription API","[PATCH] /api/v1/subscriptions/time","0","0","1","0","0"
"V1.0 API","Admin API","[POST] /api/v1/admin/utilities/conversion/content","0","0","1","0","0"
"V1.0 API","WorkBook API","[GET] /api/v1/workbooks/{workbookId}","0","0","1","0","0"
"V1.0 API","Problem API","[POST] /api/v1/problems/{problemId}","0","0","1","0","0"
"V1.0 UseCase","Problem","BrowseProblems","0","0","4","0","0"
"V1.0 API","Admin API","[POST] /api/v1/admin/articles","0","0","1","0","0"
"V1.0 API","Subscription API","[POST] /api/v1/workbooks/{workbookId}/subs","0","0","1","0","0"
"V1.0 API","Admin API","[POST] /api/v1/utilities/conversion/image","0","0","1","0","0"
"V1.0 API","Problem API","[GET] /api/v1/problems/{problemId}","0","0","1","0","0"
"V1.0 API","WorkBook Article API","[GET] /api/v1/workbooks/{workbookId}/articles/{articleId}","0","0","1","0","0"
"V1.0 API","Subscription API","[POST] /api/v1/workbooks/{workbookId}/unsubs","0","0","1","0","0"
"V1.0 API","Article API","[GET] /api/v1/articles/categories","0","0","1","0","0"
"V1.0 API","Admin API","[POST] /api/v1/admin/workbooks","0","0","1","0","0"
"V1.0 API","Member API","[POST] /api/v1/members/token","0","0","1","0","0"
"V1.0 API","Subscription API","[POST] /api/v1/subscriptions/unsubs","0","0","1","0","0"
"V1.0 API","Subscription API","[GET] /api/v1/subscriptions/workbooks?view=myPage","0","0","1","0","0"
"V1.0 API","WorkBook API","[GET] /api/v1/workbooks","0","0","1","0","0"
"V1.0 API","Admin API","[POST] /api/v1/admin/relations/articles","0","0","1","0","0"
"V1.0 API","Article API","[GET] /api/v1/articles?prevArticleId={optional}?categoryCd={optional}","0","0","1","0","0"
